Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,FIGI,SecurityType
MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",09/08/1976,66740,1902,BBG000BP52R2,Common Stock
AOS,A. O. Smith,reports,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,91142,1916,BBG000BC1L02,Common Stock
ABT,Abbott,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1800,1888,BBG000B9ZXB4,Common Stock
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888),BBG0025Y4RY4,Common Stock
ABMD,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/2018,815094,1981,BBG000C101X4,Common Stock
ACN,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989,BBG000D9D830,Common Stock
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,718877,2008,BBG000CVWGS6,Common Stock
ADM,ADM,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",29/07/1981,7084,1902,BBG000BB6WG8,Common Stock
ADBE,Adobe,reports,Information Technology,Application Software,"San Jose, California",05/05/1997,796343,1982,BBG000BB5006,Common Stock
ADP,ADP,reports,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",31/03/1981,8670,1949,BBG000JG0547,Common Stock
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",09/07/2015,1158449,1932,BBG000F7RCJ1,Common Stock
AES,AES,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,874761,1981,BBG000C23KJ3,Common Stock
AFL,Aflac,reports,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,4977,1955,BBG000BBBNC6,Common Stock
A,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1090872,1999,BBG000C2V3D6,Common Stock
AIG,AIG,reports,Financials,Property & Casualty Insurance,"New York City, New York",31/03/1980,5272,1919,BBG000BBDZG3,Common Stock
APD,Air Products,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,2969,1940,BBG000BC4JJ4,Common Stock
AKAM,Akamai,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1086222,1998,BBG000BJQWD2,Common Stock
ALK,Alaska Air Group,reports,Industrials,Airlines,"Seattle, Washington",13/05/2016,766421,1985,BBG000BBL0Y1,Common Stock
ALB,Albemarle,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/2016,915913,1994,BBG000BJ26K7,Common Stock
ARE,Alexandria,reports,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994,BBG000BC33T9,REIT
ALGN,Align,reports,Health Care,Health Care Supplies,"San Jose, California",19/06/2017,1097149,1997,BBG000BRNLL2,Common Stock
ALLE,Allegion,reports,Industrials,Building Products,"New York City, New York",02/12/2013,1579241,1908,BBG003PS7JV1,Common Stock
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/2016,352541,1917,BBG000DW4Q75,Common Stock
ALL,Allstate,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,899051,1931,BBG000BVMGF2,Common Stock
GOOGL,Alphabet (Class A),reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2014,1652044,1998,BBG009S39JX6,Common Stock
GOOG,Alphabet (Class C),reports,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2006,1652044,1998,BBG009S3NB30,Common Stock
MO,Altria,reports,Consumer Staples,Tobacco,"Richmond, Virginia",04/03/1957,764180,1985,BBG000BP6LJ8,Common Stock
AMZN,Amazon,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1018724,1994,BBG000BVPV84,Common Stock
AMCR,Amcor,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",07/06/2019,1748790,2019 (1860),BBG00LNJRQ09,Common Stock
AMD,AMD,reports,Information Technology,Semiconductors,"Santa Clara, California",,2488,1969,BBG000BBQCY0,Common Stock
AEE,Ameren,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/1991,1002910,1902,BBG000B9X8C0,Common Stock
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",23/03/2015,6201,1934,BBG005P7Q881,Common Stock
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",04/03/1957,4904,1906,BBG000BB9KF2,Common Stock
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",30/06/1976,4962,1850,BBG000BCQZS4,Common Stock
AMT,American Tower,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1053507,1995,BBG000B9XYV2,REIT
AWK,American Water,reports,Utilities,Water Utilities,"Camden, New Jersey",04/03/2016,1410636,1886,BBG000TRJ294,Common Stock
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",03/10/2005,820027,1894,BBG000G3QLY3,Common Stock
ABC,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",30/08/2001,1140859,1985,,
AME,Ametek,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/2013,1037868,1930,BBG000B9XG87,Common Stock
AMGN,Amgen,reports,Health Care,Biotechnology,"Thousand Oaks, California",02/01/1992,318154,1980,BBG000BBS2Y0,Common Stock
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",30/09/2008,820313,1932,BBG000B9YJ35,Common Stock
ADI,Analog Devices,reports,Information Technology,Semiconductors,"Wilmington, Massachusetts",12/10/1999,6281,1965,BBG000BB6G37,Common Stock
ANSS,Ansys,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/06/2017,1013462,1969,BBG000GXZ4W7,Common Stock
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",25/07/2002,1156039,2014 (1946),,
AON,Aon,reports,Financials,Insurance Brokers,"London, UK",23/04/1996,315293,1982 (1919),BBG00SSQFPK6,Common Stock
APA,APA Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28/07/1997,6769,1954,BBG00YTS96G2,Common Stock
AAPL,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,320193,1977,BBG000B9XRY4,Common Stock
AMAT,Applied Materials,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",16/03/1995,6951,1967,BBG000BBPFB9,Common Stock
APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",24/12/2012,1521332,1994,BBG01R914LT5,Common Stock
ANET,Arista,reports,Information Technology,Communications Equipment,"Santa Clara, California",28/08/2018,1596532,2004,BBG000N2HDY5,Common Stock
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York City, New York",10/04/2007,1267238,1892,BBG000BZX1N5,Common Stock
T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885),BBG000BSJK37,Common Stock
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",15/02/2019,731802,1906,BBG000BRNGM2,Common Stock
ADSK,Autodesk,reports,Information Technology,Application Software,"San Rafael, California",01/12/1989,769397,1982,BBG000BM7HL0,Common Stock
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",02/01/1997,866787,1979,BBG000C7LMS8,Common Stock
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",10/01/2007,915912,1978,BBG000BLPBL5,REIT
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",31/12/1987,8818,1990,BBG000BCQ4P6,Common Stock
BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",07/07/2017,1701605,2017,BBG00GBVBK51,Common Stock
BLL,Ball,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/1984,9389,1880,,
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,70858,1998 (1923 / 1874),BBG000BCTLF6,Common Stock
BBWI,Bath & Body Works,reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",30/09/1983,701985,1963,BBG000BNGTQ7,Common Stock
BAX,Baxter,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",30/09/1972,10456,1931,BBG000BCVJ77,Common Stock
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30/09/1972,10795,1897,BBG000BCZYD3,Common Stock
WRB,Berkley,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",05/12/2019,11544,1967,BBG000BD1HP2,Common Stock
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/02/2010,1067983,1839,BBG000DWG505,Common Stock
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/06/1999,764478,1966,BBG000BCWCG1,Common Stock
BIO,Bio-Rad,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",22/06/2020,12208,1952,BBG000DY28W5,Common Stock
TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",30/08/2021,842023,1976,BBG000C15114,Common Stock
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",13/11/2003,875045,1978,BBG000C17X76,Common Stock
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",04/04/2011,1364742,1988,BBG01PSW2WN4,Common Stock
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",31/03/1995,1390777,1784,,
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",04/03/1957,12927,1916,BBG000BCSST7,Common Stock
BKNG,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",06/11/2009,1075531,1996,BBG000BLBVN4,Common Stock
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,908255,1880,BBG000BJ49H3,Common Stock
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",03/04/2006,1037540,1970,BBG000BS5CM9,REIT
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",24/02/1995,885725,1979,BBG000C0LW92,Common Stock
BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",04/03/1957,14272,1989,BBG000DQLV23,Common Stock
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",08/05/2014,1730168,1961,BBG00KHY5S69,Common Stock
BR,Broadridge,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",18/06/2018,1383312,1962,BBG000PPFKQ7,Common Stock
BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",20/09/2021,79282,1939,BBG000BWSGF4,Common Stock
BF.B,Brown-Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",31/10/1982,14693,1870,BBG000BD2NY8,Common Stock
CHRW,C.H. Robinson,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",02/03/2007,1043277,1905,BBG000BTCH57,Common Stock
CDNS,Cadence,reports,Information Technology,Application Software,"San Jose, California",18/09/2017,813672,1988,BBG000C13CD9,Common Stock
CZR,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",22/03/2021,1590895,1973,BBG0074Q3NK6,Common Stock
CPB,Campbell's,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",04/03/1957,16732,1869,BBG000BG4202,Common Stock
COF,Capital One,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",01/07/1998,927628,1994,BBG000BGKTF9,Common Stock
CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",27/05/1997,721371,1971,BBG000D898T9,Common Stock
KMX,CarMax,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",28/06/2010,1170010,1993,BBG000BLMZK6,Common Stock
CCL,Carnival,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/1998,815097,1972,BBG000BF6LY3,Common Stock
CARR,Carrier,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",03/04/2020,1783180,2020 (1915),BBG00RP5HYS8,Common Stock
CTLT,Catalent,reports,Health Care,Pharmaceuticals,"Somerset, New Jersey",21/09/2020,1596783,2007,BBG005XR47P5,Common Stock
CAT,Caterpillar,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",04/03/1957,18230,1925,BBG000BF0K17,Common Stock
CBOE,Cboe,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",01/03/2017,1374310,1973,BBG000QH56C1,Common Stock
CBRE,CBRE,reports,Real Estate,Real Estate Services,"Dallas, Texas",10/11/2006,1138118,1906,BBG000C04224,Common Stock
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",23/09/2019,1402057,1984,BBG001P63B80,Common Stock
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",24/12/2018,1306830,1918,BBG000JYP7L8,Common Stock
CNC,Centene,reports,Health Care,Managed Health Care,"St. Louis, Missouri",30/03/2016,1071739,1984,BBG000BDXCJ5,Common Stock
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",31/07/1985,1130310,1882,BBG000FDBX90,Common Stock
CDAY,Ceridian,reports,Information Technology,Application Software,"Minneapolis, Minnesota",20/09/2021,1725057,1992,,
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",30/04/2010,804753,1979,BBG000BFDLV8,Common Stock
CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",27/08/2008,1324404,1946,BBG000BWJFZ4,Common Stock
CRL,Charles River,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",14/05/2021,1100682,1947,BBG000BG5BL8,Common Stock
SCHW,Charles Schwab,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",02/06/1997,316709,1971,BBG000BSLZY7,Common Stock
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",08/09/2016,1091667,1993,BBG000VPGNR2,Common Stock
CVX,Chevron,reports,Energy,Integrated Oil & Gas,"San Ramon, California",04/03/1957,93410,1879,BBG000K4ND22,Common Stock
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",28/04/2011,1058090,1993,BBG000QX74T1,Common Stock
CB,Chubb,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,896159,1985,BBG000BR14K5,Common Stock
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927,1847,BBG000BFJT36,Common Stock
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",30/06/1976,1739940,1982,BBG00KXRCDP0,Common Stock
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,20286,1950,BBG000BFPK65,Common Stock
CTAS,Cintas,reports,Industrials,Diversified Support Services,"Mason, Ohio",01/03/2001,723254,1929,BBG000H3YXF8,Common Stock
CSCO,Cisco,reports,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,858877,1984,BBG000C3J3C9,Common Stock
C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",31/05/1988,831001,1998,BBG000FY4S11,Common Stock
CFG,Citizens,reports,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,759944,1828,BBG006Q0HY77,Common Stock
CTXS,Citrix,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",01/12/1999,877890,1989,BBG000FQ6PY6,Common Stock
CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",31/03/1969,21076,1913,BBG000BFS7D3,Common Stock
CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",11/08/2006,1156375,1848,BBG000BHLYP4,Common Stock
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",03/05/1999,811156,1886,BBG000BFVXX0,Common Stock
KO,Coca-Cola,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",04/03/1957,21344,1886,BBG000BMX289,Common Stock
CTSH,Cognizant,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290,1994,BBG000BBDV81,Common Stock
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",04/03/1957,21665,1806,BBG000BFQYY3,Common Stock
CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",19/11/2002,1166691,1963,BBG000BFT2L4,Common Stock
CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",01/12/1995,28412,1849,BBG000C75N77,Common Stock
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/08/1983,23217,1919,BBG000BDXGP9,Common Stock
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",04/03/1957,1163165,2002,BBG000BQQH30,Common Stock
ED,Con Edison,reports,Utilities,Electric Utilities,"New York City, New York",,1047862,1823,BBG000BHLYS1,Common Stock
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",01/07/2005,16918,1945,BBG000J1QLT0,Common Stock
CEG,Constellation Energy,reports,Utilities,Multi-Utilities,"Baltimore, Maryland",02/02/2022,1868275,1999,BBG014KFRNP7,Common Stock
COO,CooperCompanies,reports,Health Care,Health Care Supplies,"San Ramon, California",23/09/2016,711404,1958,BBG000BG3445,Common Stock
CPRT,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",02/07/2018,900075,1982,BBG000BM9RH1,Common Stock
